List of Listed Companies & Contact Information,,,,,,As of 15 Dec 2025,,,
Symbol,Company,Market,Industry,Sector,Address,Zip code,Tel.,Fax,Website
AIE,AI ENERGY PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"55/2 Moo 8 Sethakit 1 Rd., Klong Maduea, Krathum Baen Samut Sakhon",74110,0-3487-7485-8,0-3487-7491-2,www.aienergy.co.th
AIMCG,AIM COMMERCIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"Unit 803, 8th floor,Tower B, GPF Witthayu Building, No. 93/1, Witthayu Road, Lumpini, Pathumwan Bangkok",10330,0-2254-0441-2,-,www.aimcgreit.com
AIMIRT,AIM INDUSTRIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"Unit 803, 8th floor,Tower B, GPF Witthayu Building, No. 93/1, Witthayu Road, Lumpini, Pathumwan Bangkok",10330,0-2254-0441-2,-,www.aimirt.com
AIRA,AIRA CAPITAL PUBLIC COMPANY LIMITED,mai,Financials,-,"319 Chamchuri Square Building. 12th Floor, Phayathai Road, Pathumwan Bangkok",10330,0-2080-2999,0-2160-5395,https://www.airacapital.co.th
AIT,"ADVANCED INFORMATION TECHNOLOGY PUBLIC CO.,LTD.",SET,Technology,Information & Communication Technology,"37/2 SUTHISARN ROAD, SAMSAENNOK, HUAI KHWANG Bangkok",10320,0-2275-9400,"0-2275-9100, 0-2275-9200",www.ait.co.th
AJ,A.J. PLAST PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,"95 Thakarm Road, Samaedam, Bangkhuntien Bangkok",10150,"0-2415-0035, 0-2415-6059",0-2415-6068,www.ajplast.co.th
AJA,AJ ADVANCE TECHNOLOGY PUBLIC COMPANY LIMITED,SET,Consumer Products,Home & Office Products,"427/2 Rama 2 Road, Kwang Samaedum, Khet Bangkhuntian Bangkok",10150,0-2451-6888,0-2451-5490,www.ajthai.com
AKP,AKKHIE PRAKARN PUBLIC COMPANY LIMITED,mai,Services,-,"792 Moo 2 Soi 1C/1 Bangpoo Industrail Estate, Sukhumwit Rd., Bangpoo Mai, Mueang Samut Prakarn Samut Prakarn",10280,0-2323-0714-21,0-2323-0724,www.akkhie.com
AKR,EKARAT ENGINEERING PUBLIC COMPANY LIMITED,SET,Industrials,Industrial Materials & Machinery,"U.M. TOWER, FLOOR 28, 9/291 RAMKHAMHAENG ROAD, SUAN LUANG Bangkok",10250,0-2719-8777,02-719-8760-2,http://www.ekarat.co.th
AKS,AKS CORPORATION PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"102 Rimklong Bangkapi Road, Bangkapi, Huai Khwang Bangkok",10310,0-2033-5555,0-2033-5566,www.akscorporation.co.th
ALLA,ALLA PUBLIC COMPANY LIMITED,SET,Industrials,Industrial Materials & Machinery,"933 935 937 939 Soi Onnut 46, Onnut Road, Onnut, Suanluang Bangkok",10250,"0-2322-0777, 0-2721-5699",0-2322-1891-2,www.alla.co.th
ALLY,ALLY FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"888 Praditmanutham Rd., Klongjan, Bangkapi Bangkok",10240,0-2101-5999,-,www.allyreit.com
ALPHAX,ALPHA DIVISIONS PUBLIC COMPANY LIMITED,mai,Resources,-,"No. 127 Gaysorn Tower Building, Room No. D, 24th Floor, Ratchadamri Road, Lumpini Subdistrict, Pathumwan District Bangkok",10330,0-2095-5653,-,www.alphadivisions.com
ALT,ALT TELECOM PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"52/1 Moo 5 Bangkruay - Sai Noi road, Bang Sithong sub-district, Bang Kruay district Nonthaburi",11130,-11796,0-2886-3364,alt.co.th
ALUCON,ALUCON PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,"500 MOO 1, SOI SIRIKAM, SUKHUMVIT 72 ROAD, AMPHOE MUEANG Samut Prakarn",10270,"0-2398-0147, 0-2398-4601","0-2398-3455, 0-2361-2511",www.alucon.th.com
AMA,AMA MARINE PUBLIC COMPANY LIMITED,mai,Services,-,"33/4 the ninth Tower A, 33rd Floor, Room #TNA02, Rama 9 Road, Huaykwang Bangkok",10310,0-2001-2801,0-2001-2800,www.amamarine.co.th
AMANAH,AMANAH LEASING PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"16-16/1 PHAYATHAI ROAD, WANGMAI, PATHUM WAN Bangkok",10330,0-2091-6456,0-2030-6401,http://www.amanah.co.th
AMARC,ASIA MEDICAL AND AGRICULTURAL LABORATORY AND RESEARCH CENTER PUBLIC COMPANY LIMITED,mai,Services,-,"361 Soi Ladprao 122, Ladprao Road, Phlabphla, Wang Thonglang Bangkok",10310,0-2516-2422,0-2516-6949,http://amarc.co.th/
AMARIN,AMARIN CORPORATIONS PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"378 CHAIYAPRUK ROAD, TALING-CHAN Bangkok",10170,0-2422-9999,"0-2434-3555, 0-2434-3777",http://www.amarin.com
AMATA,AMATA CORPORATION PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"KROMADIT BLDG, 2126 NEW PETCHBURI ROAD, BANG KAPI, HUAI KHWANG Bangkok",10310,"0-2318-0007, 0-2792-0000",0-2318-1096,http://www.amata.com
AMATAR,AMATA SUMMIT GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"2126 Kromadit Building, New Petchburi Road, Bangkapi, Huay kwang Bangkok",10320,0-2792-0089,0-2792-0090,www.amatareit.com
AMATAV,AMATA VN PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"2126 New Petchaburi road, Bangkrapi, Huay Kwang Bangkok",10310,0-2792-0000,0-2318-1096,http://www.amatavn.com
AMC,ASIA METAL PUBLIC COMPANY LIMITED,SET,Industrials,Steel and Metal Products,"55, 55/1 MOO 2 SOI WATNAMDANG, SRINAKARIN ROAD, AMPHOE BANG PHLI Samut Prakarn",10540,0-2383-4100,0-2383-4101-2,www.asiametal.co.th
AMR,AMR ASIA PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"469 Soi Prawit Lae Phuean, Prachachuen Road, Lat Yao Subdistrict, Chatuchak District Bangkok",10900,0-2589-9955,0-2591-7022,https://www.amrasia.com
ANAN,ANANDA DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"No. 99/1 Moo 14 Soi Wind Mill Village, Bangna-Trad Road (k.m.10.5), Bangpleeyai, Bangplee Samut Prakarn",10540,0-2317-1155,0-2317-1100,http://www.ananda.co.th
ANI,Asia Network International Public Company Limited,SET,Services,Transportation & Logistics,"628 Triple I Building, 6th Floor, Soi Klab Chom, Nonsee Road, Chongnonsee, Yannawa Bangkok",10120,0-2681-3149,0-2681-3153,www.anicargo.com
AOT,AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,333 CHERDWUTAGARD ROAD DON MUEANG Bangkok,10210,0-2535-1192,0-2535-5749,www.airportthai.co.th
AP,AP (THAILAND) PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"OCEAN TOWER 1, FLOOR 18, 170/57, RACHADAPISEK ROAD, KHLONG TOEI Bangkok",10110,"0-2261-2518-22, 0-2261-2285-7",0-2261-2548-9,www.apthai.com
APCO,ASIAN PHYTOCEUTICALS PUBLIC COMPANY LIMITED,SET,Consumer Products,Personal Products & Pharmaceuticals,"84/3 Moo 4, Northern Region Industrial Estate (West), Banklang Subdistrict, Muang District Lamphun",51000,0-5358-1374,0-5358-1375,http://www.apco.co.th
APCS,ASIA PRECISION PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"223/53, 13th Floor, Country Complex Tower A, Sunphawut Road, Bangna Tai Subdistrict, Bangna District Bangkok",10260,0-2361-5494,-,www.apcs.co.th
APO,Asian Palm Oil Public Company Limited,mai,Agro & Food Industry,-,"99 Moo. 2 Ao Luek Tai, Ao Luek Krabi",81110,0-7568-1355,-,https://asianpalmoil.com
APP,APPLICAD PUBLIC COMPANY LIMITED,mai,Technology,-,"69 Soi Sukhumvit 68, Sukhumvit Rd., Bangna Nuea, Bangna Bangkok",10260,0-2744-9045,0-2744-9049,www.applicadthai.com
APURE,AGRIPURE HOLDINGS PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"The Ruamjaipattana Foundation Building No. 70 Moo 6 Klong 1 District, Klongluang Pathum Thani",12120,0-2516-0941-45,0-2516-0946,http://www.apureholdings.com
AQUA,AQUA CORPORATION PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"R.S. TOWER, FLOOR 21, 121/68-69 RATCHADAPISEK ROAD, DIN DAENG Bangkok",10400,0-2041-8888,-,www.aquacorp.co.th
ARIN,ARINSIRI LAND PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"49/82 Bang Saen Sai 4 Nue Rd., Saen Suk, Muang Chonburi",20130,"0-3819-1581,1395",0-3819-1681,www.arinsiri.com
ARIP,ARIP PUBLIC COMPANY LIMITED,mai,Services,-,"No. 99/16-20 Ratchadapisek Road, Din-Daeng Bangkok",10320,0-2642-3400,0-2642-3440,http://www.aripplc.com
ARROW,ARROW SYNDICATE PUBLIC COMPANY LIMITED,mai,Property & Construction,-,31 Moo 1 Phanthong Chonburi,20160,0-3874-0371-4,0-3874-0150,www.arrowpipe.com
AS,ASPHERE INNOVATIONS PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"No.51, Major Tower Rama 9 - Ramkumhang, 18th Floor, Room No. 3 - 8, Rama 9 Road, Hua Mak Sub-District, Bangkapi District Bangkok",10240,0-2769-8888,0-2090-2730,http://as-th.listedcompany.com
ASAP,SYNERGETIC AUTO PERFORMANCE PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"149 Moo 3 Theparak Road, Theparak, Muang Samutprakarn Samut Prakarn",10270,0-2091-8181,0-2091-8111,http://www.asapcarrent.com
ASEFA,ASEFA PUBLIC COMPANY LIMITED,SET,Industrials,Industrial Materials & Machinery,"5 Moo 1, Rama II Road, Khok-krabue, Muang Samutsakhon Samut Sakhon",74000,0-2686-7777,0-2686-7788,www.asefa.co.th
ASIA,ASIA HOTEL PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,"296 PHAYATHAI ROAD, PHAYA THAI Bangkok",10400,0-2217-0808,0-2215-2645,www.asiahotel.co.th
ASIAN,ASIAN SEA CORPORATION PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"55/2 MOO 2 RAMA II ROAD, TAMBOL BANGKRAJAO, AMPHOE MUEANG Samut Sakhon",74000,"0-3482-2204-7, 0-3482-2700-6","0-3482-2407, 0-3482-2698-9, 0-3482-2706",www.asiansea.co.th
ASIMAR,ASIAN MARINE SERVICES PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"No. 128 Mu 3 Suksawad Rd., Laemfapa, PraSamutjedee Samut Prakarn",10290,0-2815-2060-67,0-2453-7213-4,www.asimar.com
ASK,ASIA SERMKIJ LEASING PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"No. 129 JLK Tower, 20th Floor, Sukhumvit Road, Khlong Toei Nuea, Watthana Bangkok",10110,"0-2030-0999,0-2679-6226,0-2679-6262",0-2679-6241-3,www.ask.co.th
ASN,ASN BROKER PUBLIC COMPANY LIMITED,mai,Financials,-,"388 IBM Tower, 16th Floor, Zone B, Phaholyothin Road, Samsennai, Phayathai Bangkok",10400,0-2494-8388,0-2619-2296,http://www.asnbroker.co.th
ASP,ASIA PLUS GROUP HOLDINGS PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"SATHORN CITY TOWER, FLOOR 3,9 and 11, 175 SOUTH SATHORN ROAD, SATHON Bangkok",10120,"0-2285-1888, 0-2680-1111",0-2285-1901-2,www.asiaplusgroup.co.th
ASW,ASSETWISE PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"9 Soi Ramintra 5 Junction 23, Anusawari, Bang Khen Bangkok",10220,0-2521-9533-35,-,www.assetwise.co.th
ATLAS,Atlas Energy Public Company Limited,SET,Resources,Energy & Utilities,"90 CW Tower A Building Ratchadaphisek Road, Huai Khwang Sub-district/Sub-area, Huai Khwang District/Area Bangkok",10310,08-0059-7044,0-2168-3379,www.atlasenergy.co.th
ATP30,ATP30 PUBLIC COMPANY LIMITED,mai,Services,-,"9/30 Moo 9 Bangnang, Panthong Chonburi",20160,0-3846-8788,0-3846-8788,http://www.atp30.com
AU,AFTER YOU PUBLIC COMPANY LIMITED,mai,Agro & Food Industry,-,"1319/9 Pattanakarn Road Suan Luang Sub District ,Suan Luang District Bangkok",10250,0-2318-4488,0-2318-1022,www.afteryoudessertcafe.com
AUCT,UNION AUCTION PUBLIC COMPANY LIMITED,mai,Services,-,518/28 Soi Ramkhamhaeng 39 (Thepleela 1) Wangthonglang Bangkok,10310,0-2033-6555,0-2935-6202,www.auct.co.th
AURA,Aurora Design Public Company Limited,SET,Consumer Products,Fashion,"444 Soi Udomsuk 26, Bangna Nuea, Bangna Bangkok",10260,0-2749-5044,-,http://www.auroradesign.co.th
AWC,ASSET WORLD CORP PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"54th Floor, Empire Tower, No. 1 South Sathorn Road, Yannawa, Sathorn Bangkok",10120,0-2180-9999,0-2180-9966,https://www.assetworldcorp-th.com
AXTRART,Axtra Future City Freehold and Leasehold Real Estate Investment Trust,SET,Property & Construction,Property Fund & REITs,"No. 111, 10th Floor, Unit 1001/1, True Digital Park West, Sukhumvit Rd., Bang Chak, Phra Khanong Bangkok",10260,06-3848-4677,-,www.axtrart.com
AYUD,ALLIANZ AYUDHYA CAPITAL PUBLIC COMPANY LIMITED,SET,Financials,Insurance,"PLOENCHIT TOWER, FLOOR 7, 898 PLOENCHIT ROAD, LUMPINI, PATHUM Bangkok",10330,0-2657-2970,0-2657-2971,www.ayud.co.th
B,BEGISTICS PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"52 Thaniya Plaza Building 28th Floor, Silom Road, Suriyawongse, Bangrak Bangkok",10500,0-2096-4999,-,WWW.BEGISTICS.CO.TH
B52,B-52 CAPITAL PUBLIC COMPANY LIMITED,SET,Services,Commerce,"973 President Tower Building, Unit 7B, 7C, 7D, 7I, 7th Floor, Ploenchit Road, Lumpini, Pathumwan Bangkok",10330,0-2656-0189,0-2656-0189 Ext. 123,www.b52.co.th
BA,BANGKOK AIRWAYS PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"99 Mu 14, Vibhavadirangsit Rd., Chom Phon, Chatuchak Bangkok",10900,0-2265-5678,0-2265-5500,http://www.bangkokair.com
BAFS,BANGKOK AVIATION FUEL SERVICES PCL.,SET,Resources,Energy & Utilities,"171/2 Kamphaeng Phet 6 Road, Sub-Distict Don Mueang, Khet Don Mueang Bangkok",10210,0-2834-8900,0-2834-8999,www.bafsthai.com
BAM,BANGKOK COMMERCIAL ASSET MANAGEMENT PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"99 Surasak Rd, Silom, Bang Rak Bangkok",10500,0-2267-1900,0-2266-3377,www.bam.co.th
BANPU,BANPU PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"THANAPOOM TOWER BLDG., FLOOR 27, 1550 NEW PETCHABURI ROAD, MAKKASAN, RATCHATHEWI Bangkok",10400,0-2694-6600,0-2207-0696,http://www.banpu.com
BAREIT,BA Airport Leasehold Real Estate Investment Trust,SET,Property & Construction,Property Fund & REITs,"No.99, Moo 14, Vibhavadi-Rangsit Road, Chom Phon Subdistrict, Chatuchak District Bangkok",-,0-2265-5834,-,www.bareit.co.th
BAY,BANK OF AYUDHYA PUBLIC COMPANY LIMITED,SET,Financials,Banking,"1222 RAMA III ROAD, BANGPHONGPHANG, YAN NAWA Bangkok",10120,"0-2296-2000, 0-2683-1000",0-2683-1304,www.krungsri.com
BBGI,BBGI PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"2098 M Tower Building, 5th Floor, Sukhumvit Road, Phra Khanong Tai, Phra Khanong Bangkok",10260,0-2335-8814,0-2335-8800,https://www.bbgigroup.com/
BBIK,BLUEBIK GROUP PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"51, Naradhiwas Rajanagarindra Rd., Silom, Bangrak Bangkok",10500,0-2636-7011,-,https://www.bluebik.com
BBL,BANGKOK BANK PUBLIC COMPANY LIMITED,SET,Financials,Banking,"333 SILOM ROAD, BANG RAK Bangkok",10500,0-2231-4333,0-2231-4890,www.bangkokbank.com
BC,BOUTIQUE CORPORATION PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"170/67, 21st floor, Ocean Tower 1, Soi Sukhumvit 16, Ratchadaphisek Road, Klongtoey, Klongtoey Bangkok",10110,0-2620-8777,0-2620-8778,https://www.boutiquecorporation.com
BCH,BANGKOK CHAIN HOSPITAL PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,"44 Moo 4, Pakkred Sub District, Pakkred District Nonthaburi",11120,0-2836-9999,0-2106-4858,www.bangkokchainhospital.com
BCP,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"2098 M Tower Building, 8th Floor, Sukhumvit Rd., Phra Khanong Tai, Phra Khanong Bangkok",10260,0-2335-8888,0-2335-8000,http://www.bangchak.co.th
BCPG,BCPG PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"M Tower, 12th floor, 2098 Sukhumvit Road, Bangchak, Phrakanong Bangkok",10260,-,-,www.bcpggroup.com
BCT,BIRLA CARBON (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,"MAHATUN PLAZA BUILDING, FLOOR 12, 888/122,128 PLOENCHIT ROAD, LUMPINI, PATHUM WAN Bangkok",10330,0-2253-6745-54,"0-2254-9031, 0-2253-2812",www.birlacarbon.com
BDMS,BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,"2 SOI SOONVIJAI 7, NEW PETCHABURI ROAD, BANGKAPI, HUAY KWANG Bangkok",10310,0-2310-3000,"0-2318-1546 , 0-2310-3327",www.bangkokhospital.com
BE8,BERYL 8 PLUS PUBLIC COMPANY LIMITED,mai,Technology,-,"The 9th Tower Grand Rama 9 Building (Tower B), Floor 19, 33/4 Rama 9 Road, Huai Kwang Bangkok",10310,0-2116-5081,-,www.beryl8.com
BEAUTY,BEAUTY COMMUNITY PUBLIC COMPANY LIMITED,SET,Services,Commerce,"50/1-3 Soi Nuanchan 34 nuanchan Road, Nuanchan Subdistrict, Buengkum District Bangkok",10230,0-2946-0700-6,0-2946-1571,WWW.BEAUTYCOMMUNITY.CO.TH
BEC,BEC WORLD PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"MALEENONT TOWER, 3199 RAMA IV ROAD, KLONGTON, KHLONG TOEI Bangkok",10110,"0-2204-3333, 0-2262-3333",0-2204-1384,www.becworld.com
BEM,BANGKOK EXPRESSWAY AND METRO PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"587 Sutthisanvinitchai Rd., Ratchadaphisek, Din Daeng, Bangkok",10400,"0-2641-4611, 0-2354-2000","0-2641-4610, 0-2354-2040",www.bemplc.co.th
BEYOND,BOUND AND BEYOND PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,"No. 130 - 132 Sindhorn Tower 2, 15th Floor, Wireless Road, Lumpini Sub-District, Pathum Wan District Bangkok",10330,0-2028-2626,0-2028-2628,www.boundandbeyond.co.th
BGC,BG CONTAINER GLASS PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,"47/1 Moo 2, Buengyeetho, Thanyaburi Pathum Thani",12130,0-2834-7000,0-2533-1140,www.bgc.co.th
BGRIM,B.GRIMM POWER PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"No. 5 Grungthepgreetha Road, Hua Mhark, Bang Kapi Bangkok",10240,0-2710-3400,0-2379-4245,http://www.bgrimmpower.com
BGT,BGT CORPORATION PUBLIC COMPANY LIMITED,mai,Consumer Products,-,"188 SUWINTHAWONG ROAD, MINBURI SUBDISTRICT, MINBURI DISTRICT Bangkok",10510,0-2540-2888,0-2540-1953,http://www.bodyglove.co.th
BH,BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,"33 SUKHUMVIT SOI 3 (NANA NUA), SUKHUMVIT ROAD, KLONGTOEY NUA, WATTHANA Bangkok",10110,0-2066-8888,-,www.bumrungrad.com
BIG,BIG CAMERA CORPORATION PUBLIC COMPANY LIMITED,SET,Services,Commerce,"No. 115 ? 115/1 Sawaddikarn 1 Road, Nongkham Sub-District, Nongkham District Bangkok",10160,0-2809-9956-65,0-2809-9950,www.bigcamera.co.th
BIOTEC,BIO GREEN ENERGY TECH PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"MANO TOWER,153 SOI SUKHUMVIT 39, SUKHUMVIT ROAD, PHRA KHANONG Bangkok",10110,0-2260-0050,"0-2259-9825, 0-2261-4813",www.biogreen-energytech.com
BIS,Bioscience Animal Health Public Company Limited,mai,Services,-,"479 Floor 4, Muang Thong Thani, Bond Street Road, Bang Pud Sub-District, Pak Kred District Nonthaburi",11120,0-2960-0290-5,-,https://www.bis-group.com
