หลักทรัพย์,บริษัท,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,รหัสไปรษณีย์,โทรศัพท์,โทรสาร,เว็บไซต์,
PF,บริษัท พร็อพเพอร์ตี้ เพอร์เฟค จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,"อาคารวรสมบัติ ชั้น 17, 100/1 ถนนพระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร",10320,0-2245-6640-7,0-2247-3328,www.pf.co.th,
PG,บริษัท ประชาอาภรณ์ จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,แฟชั่น,666 ถนนพระราม 3 แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร,10120,0-2685-6500,0-2294-5159,www.pg.co.th,
PHG,บริษัท แพทย์รังสิตเฮลท์แคร์กรุ๊ป จำกัด (มหาชน),SET,บริการ,การแพทย์,733/345 และ 733/359 หมู่ 8 ถนน พหลโยธิน ตำบลคูคต อำเภอลำลูกกา ปทุมธานี,12130,0-2998-9999,-,www.patrangsit.com,
PHOL,บริษัท ผลธัญญะ จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,1/11 หมู่ที่ 3 ถ.ลำลูกกา ต.ลาดสวาย อ.ลำลูกกา ปทุมธานี,12150,0-2791-0111,0-2791-0100-2,http://www.pdgth.com,
PICO,บริษัท ปิโก (ไทยแลนด์) จำกัด (มหาชน),mai,บริการ,-,10 ซอยลาซาล 56 แขวงบางนาใต้ เขตบางนา กรุงเทพมหานคร,10260,0-2748-7007,"0-2745-8521, 0-2748-7591",https://www.picothai.com,
PIMO,บริษัท ไพโอเนียร์ มอเตอร์ จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,"เลขที่ 78,78/4,78/5 หมู่ 3 ถนนดอนตูม-นครชัยศรี ตำบลดอนแฝก อำเภอนครชัยศรี นครปฐม",73120,0-3426-5111-8,0-3426-5119,www.pioneermotor.th.com,
PIN,บริษัท ปิ่นทอง อินดัสเตรียล ปาร์ค จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 789 หมู่ที่ 1 ถนนสายหนองค้อ-แหลมฉบัง ตำบลหนองขาม อำเภอศรีราชา ชลบุรี,20230,0-2294-0066 Ext. 291,-,https://www.pinthongindustrial.com/,
PIS,บริษัท โปร อินไซด์ จำกัด (มหาชน),mai,เทคโนโลยี,-,เลขที่ 55 ตำบล/แขวง ดินแดง อำเภอ/เขต ดินแดง กรุงเทพมหานคร,10400,0-2029-7875,0-2029-7879,www.proinside.co.th,
PJW,บริษัท ปัญจวัฒนาพลาสติก จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,"เลขที่ 19, 21 ซอยเอกชัย 63 ถนนเอกชัย แขวงบางบอน เขตบางบอน กรุงเทพมหานคร",10150,0-2415-1894,0-2415-0951,www.pjw.co.th,
PK,บริษัท พัฒน์กล จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,348 ถนนเฉลิมพระเกียรติ ร.9 แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร,10250,0-2328-1032-49,-,www.patkol.com,
PL,บริษัท ภัทรลิสซิ่ง จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,"อาคารเมืองไทยภัทรคอมเพล็กซ์ 1 ชั้น 29, 252/6 ถนนรัชดาภิเษก เขตห้วยขวาง กรุงเทพมหานคร",10320,0-2693-2288,0-2693-2298-99,www.pl.co.th,
PLANB,บริษัท แพลน บี มีเดีย จำกัด (มหาชน),SET,บริการ,สื่อและสิ่งพิมพ์,เลขที่ 1700 อาคารแพลน บี ทาวเวอร์ ถนนเพชรบุรีตัดใหม่ แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร,10400,0-2530-8053-6,0-2530-8057,www.planbmedia.co.th,
PLANET,บริษัท แพลนเน็ต คอมมิวนิเคชั่น เอเชีย จำกัด (มหาชน),mai,เทคโนโลยี,-,157 ซอยรามอินทรา 34 ถนนรามอินทรา แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร,10230,0-2792-2400,0-2792-2499,www.planetcomm.com,
PLAT,บริษัท เดอะ แพลทินัม กรุ๊ป จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 111 อาคาร เพียร์ 111 (M2) ชั้น 21 ถนนราชดำริห์ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร,10330,0-2121-9999,-,http://theplatinumgroup.co.th,
PLE,บริษัท เพาเวอร์ไลน์ เอ็นจิเนียริ่ง จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,2 ซอยสุขุมวิท 81 (ศิริพจน์) ถนนสุขุมวิท แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร,10260,0-2332-0345,0-2311-0851,http://www.ple.co.th,
PLT,บริษัท พีลาทัส มารีน จำกัด (มหาชน),mai,บริการ,-,84/1-4 อาคารยังเพลส แกรนด์ เลอ จาแด๊งน์ ชั้น 1-4 ซอยพหลโยธิน 37 แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร,10900,0-2930-1801-10,0-2512-2365,www.pilatusmarine.co.th,
PLUS,บริษัท โรแยล พลัส จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,84/3-7 ซอยพระรามที่ 2 ซอย 69 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร,10150,0-2416-9209,0-2416-0219,www.royalplus.co.th,
PM,บริษัท พรีเมียร์ มาร์เก็ตติ้ง จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,เลขที่ 1 พรีเมียร์คอร์เปอเรทปาร์ค ซอยพรีเมียร์ 2 ถนนศรีนครินทร์ แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร,10250,0-2301-1000,0-2301-1020,www.premier-marketing.co.th,
PMC,บริษัท พีเอ็มซี เลเบิล แมททีเรียลส์ จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,30/28 หมู่ที่ 2 ตำบลโคกขาม อำเภอเมือง สมุทรสาคร,74000,0-3445-2000,-,www.pmclabel.com,
PMTA,บริษัท พีเอ็ม โทรีเซน เอเชีย โฮลดิ้งส์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,26/26-27 อาคารอรกานต์ ชั้นที่ 8 ซอยชิดลม ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร,10330,0-2250-0569,0-2657-1040,http://www.pmthoresenasia.com,
POLY,บริษัท โพลีเน็ต จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ยานยนต์,888 หมู่ที่ 11 ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ,10570,0-2397-9094,0-2397-9097,https://www.polynet.co.th,
POPF,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ไพร์มออฟฟิศ,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,ชั้น 7-8 อาคาร 1 ไทยพาณิชย์ ปาร์ค พลาซ่า เลขที่ 18 ถนนรัชดาภิเษก แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร,10900,0-2949-1500,0-2949-1501,www.scbam.com,
PORT,บริษัท สหไทย เทอร์มินอล จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,51/1 หมู่ที่ 3 ถนนปู่เจ้าสมิงพราย ตำบลบางหญ้าแพรก อำเภอพระประแดง สมุทรปราการ,10130,0-2386-8000,0-2386-8008,http://sahathaiterminal.com/,
PPM,บริษัท พรพรหมเม็ททอล จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,เลขที่ 205/1 ถนนนครราชสีมา แขวงดุสิต เขตดุสิต กรุงเทพมหานคร,10300,0-2628-6100,0-2628-6006,www.ppm.co.th,
PPP,บริษัท พรีเมียร์ โพรดักส์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,เลขที่ 2 พรีเมียร์เพลซ ซอยพรีเมียร์ 2 ถนนศรีนครินทร์ แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร,10250,"0-2301-2100, 0-2301-2101",0-2398-1301,www.premier-products.co.th,
